INDEX,UTM_X,UTM_Y
706,248444.4905334745,3688137.95456107
707,248444.3835974215,3688137.842516264
708,248444.277200175,3688137.73086407
709,248444.1710257348,3688137.619373231
710,248444.0637017463,3688137.50663778
711,248443.9558076288,3688137.393259263
712,248443.8470827048,3688137.279030619
713,248443.7384804905,3688137.164918167
714,248443.6304042439,3688137.051328521
715,248443.5224019329,3688136.937926683
716,248443.4143979443,3688136.824829005
717,248443.3052749881,3688136.710868876
718,248443.1955894512,3688136.596627586
719,248443.0854527531,3688136.482207618
720,248442.9751124097,3688136.367846038
721,248442.8649226148,3688136.253963295
722,248442.7545222069,3688136.140134715
723,248442.6439836378,3688136.026373392
724,248442.5321351331,3688135.911460585
725,248442.4197291446,3688135.796063295
726,248442.3071555432,3688135.680394778
727,248442.1946336838,3688135.564702488
728,248442.0825520179,3688135.449398294
729,248441.9705446422,3688135.333989971
730,248441.8586659118,3688135.218391326
731,248441.7457809233,3688135.101384294
732,248441.6325721284,3688134.983630456
733,248441.519331785,3688134.865347036
734,248441.406267732,3688134.74680081
735,248441.2937887435,3688134.628359649
736,248441.1823593679,3688134.510527391
737,248441.0714738632,3688134.392851746
738,248440.9597131973,3688134.273780971
739,248440.8476484669,3688134.153886359
740,248440.7354907365,3688134.033315552
741,248440.6245975867,3688133.913533295
742,248440.5144013079,3688133.793891327
743,248440.4051649967,3688133.674587358
744,248440.2959280405,3688133.554683132
745,248440.1863143423,3688133.433664196
746,248440.07681887,3688133.31191397
747,248439.9675979782,3688133.189341035
748,248439.8597377962,3688133.067171196
749,248439.7527066787,3688132.944776131
750,248439.6463981741,3688132.822043938
751,248439.5405499275,3688132.698765777
752,248439.4348648422,3688132.574412615
753,248439.3298761118,3688132.449619453
754,248439.2258102201,3688132.324653485
755,248439.1224960702,3688132.198930969
756,248439.0204584688,3688132.073521453
757,248438.91941619,3688131.948346518
758,248438.8181962338,3688131.821845582
759,248438.7171490518,3688131.693989646
760,248438.6171371278,3688131.564861259
761,248438.5179535264,3688131.434217259
762,248438.4202678282,3688131.302729581
763,248438.3240660655,3688131.170792065
764,248438.2292424641,3688131.037619839
765,248438.1362137982,3688130.902065033
766,248438.0452871968,3688130.764456065
767,248437.9564890471,3688130.624696
768,248437.8698132844,3688130.483414742
769,248437.786372683,3688130.340653323
770,248437.7069008558,3688130.197153129
771,248437.6310841576,3688130.053270065
772,248437.558576911,3688129.908097645
773,248437.4896874709,3688129.761909322
774,248437.4244558372,3688129.615047355
775,248437.3627791068,3688129.466256548
776,248437.3057065699,3688129.316877806
777,248437.2534020653,3688129.166890902
