INDEX,L1_UTM_X,L1_UTM_Y,L1_KAPPA,R1_UTM_X,R1_UTM_Y,R1_KAPPA
80,250318.06728125477,3688284.582360344,0.13591134643124408,250319.43672986215,3688283.104378666,0.010777663243133123
81,250318.31688047052,3688284.896147835,0.1506059864976945,250319.69315886695,3688283.412655482,0.0448013301462666
82,250318.57890706894,3688285.199555113,0.20874730868344943,250319.94424439975,3688283.7253056886,0.3126680088620108
83,250318.82868230826,3688285.5131073776,0.10369363661713471,250320.2068780469,3688284.028326407,0.22709509516033202
84,250319.07984916843,3688285.825609876,0.17175099976659688,250320.4540150438,3688284.3441428505,0.1357555381963737
85,250319.32106715927,3688286.1458471203,0.20367763030978048,250320.70495948676,3688284.656911837,0.23875472075220483
86,250319.577856008,3688286.4537170525,0.05484452358199484,250320.94686675028,3688284.9767035525,0.2564872854672776
87,250319.84501984686,3688286.7526358203,0.02940044553558693,250321.20892238742,3688285.2802479384,0.10596164102752183
88,250320.11031607183,3688287.0531771937,0.09148960875440343,250321.47952969922,3688285.576190998,0.1993973347803716
89,250320.37965240792,3688287.3500405336,0.26223218226063755,250321.74176002902,3688285.8795642457,0.286437929245716
90,250320.63908581433,3688287.655698409,0.19841061378534883,250322.0088566505,3688286.178592213,0.03550134518254239
91,250320.91137007478,3688287.950003506,0.14817722561911137,250322.27346672246,3688286.479823584,0.060418564686176776
92,250321.1693605234,3688288.25671212,0.08330073870780604,250322.5438624028,3688286.7759379004,0.19915283132677067
93,250321.41891590733,3688288.5704652015,0.034016519672589805,250322.79400288546,3688287.0893142913,0.04082100221509099
94,250321.66562866955,3688288.8864392405,0.31469790997777314,250323.04704590174,3688287.4003086737,0.3368621265125982
95,250321.9198243253,3688289.1961315335,0.2404622823210535,250323.2941803864,3688287.71603718,0.3739304203691359
96,250322.16385946842,3688289.5141793117,0.0874651671307849,250323.5407870002,3688288.031560532,0.4038550155088836
97,250322.41143379782,3688289.8295174567,0.04577883626976057,250323.79026465723,3688288.3454823685,0.18921674549545148
98,250322.66159218573,3688290.142833656,0.09583285692656736,250324.03798983805,3688288.6608125223,0.08562060235959777
99,250322.908758742,3688290.458568719,0.4515255112238875,250324.289853356,3688288.972856643,0.05595272988017911
100,250323.1687912139,3688290.762438888,0.21659499773328691,250324.53754758197,3688289.287737802,0.7891399003806601
101,250323.42514572732,3688291.070289122,0.0987627750571601,250324.789210424,3688289.598329638,0.99191214099587
102,250323.685484111,3688291.375119777,0.001401576689813175,250325.05571671017,3688289.8981397403,0.07426423346770267
103,250323.94084775526,3688291.684155288,0.03050724189148711,250325.3135317601,3688290.205239194,0.1560628196475095
104,250324.20639017728,3688291.984320956,0.22142693778670752,250325.5681330712,3688290.514909815,0.4861101658827198
105,250324.46327277023,3688292.2919783643,0.3400196862290243,250325.83837220003,3688290.811171633,0.3033773334338439
106,250324.73388067345,3688292.587664242,0.14216843882266356,250326.09671905838,3688291.1177799944,0.225396016540327
107,250324.99820831156,3688292.8891449883,0.1671080978662835,250326.36558659954,3688291.4152384764,0.04051783656564778
108,250325.25191579206,3688293.1995633855,0.09019419721564007,250326.62682931253,3688291.7194429566,0.16274311410904974
109,250325.5167886509,3688293.500409741,0.22624224693089875,250326.8817788628,3688292.0289735748,0.2185653307838294
110,250325.79578616668,3688293.7882686444,0.19929033294929735,250327.1595201062,3688292.318137112,0.21052375607432253
111,250326.05171403885,3688294.096772819,0.09677684465307125,250327.427535896,3688292.6163944053,0.0974600829074037
112,250326.30110574223,3688294.4106093394,0.2831134317323669,250327.67587113022,3688292.931138722,0.1267389541087994
113,250326.56488019213,3688294.7123110835,0.10803153950976167,250327.93571287466,3688293.236294365,0.131655339428666
