INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,L1_ALT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT,R1_ALT
5227,329945.585021403,4157649.13159522,127.074896681203,37.5501724265,15.7521,329944.177512652,4157647.71070849,127.074881085059,37.550159366715,15.7521
5228,329945.570885855,4157649.14584337,127.074896517962,37.550172552246,15.7503,329944.158267355,4157647.73003655,127.074880862825,37.55015953728,15.7503
5229,329945.556736597,4157649.16029549,127.074896354518,37.550172679826,15.749,329944.138559391,4157647.75005671,127.074880635196,37.550159713994,15.749
5230,329945.542554237,4157649.17493486,127.074896190656,37.550172809088,15.7483,329944.119021798,4157647.77010199,127.074880409489,37.550159890967,15.7483
5231,329945.528353865,4157649.1895158,127.074896026604,37.550172937819,15.7478,329944.100284265,4157647.78929538,127.074880193031,37.550160060412,15.7478
5232,329945.514152002,4157649.20402073,127.074895862553,37.550173065866,15.747,329944.082479689,4157647.80748416,127.074879987363,37.55016022098,15.747
5233,329945.499953432,4157649.21830927,127.074895698589,37.550173191964,15.7458,329944.065972033,4157647.8241438,127.074879796723,37.550160368012,15.7458
5234,329945.486013021,4157649.23281534,127.074895537496,37.550173320069,15.7441,329944.050900416,4157647.83981433,127.07487962256,37.550160506398,15.7441
5235,329945.471868764,4157649.24747582,127.07489537406,37.550173449528,15.7424,329944.036268574,4157647.85497731,127.074879453491,37.550160640294,15.7424
5236,329945.457641947,4157649.26232172,127.074895209648,37.550173580642,15.7406,329944.022517977,4157647.86933242,127.074879294581,37.550160767074,15.7406
5237,329945.443335764,4157649.27729874,127.074895044307,37.550173712922,15.739,329944.009580891,4157647.88290031,127.074879145057,37.550160886913,15.739
5238,329945.42880805,4157649.29234585,127.074894876443,37.550173845793,15.7381,329943.997753804,4157647.89517594,127.074879008393,37.550160995315,15.7381
5239,329945.414219973,4157649.30731759,127.074894707914,37.550173977973,15.7379,329943.987755296,4157647.9054622,127.074878892879,37.550161086133,15.7379
5240,329945.399615358,4157649.32220447,127.074894539217,37.550174109386,15.7379,329943.979724605,4157647.91369098,127.074878800107,37.55016115878,15.7379
5241,329945.38510553,4157649.33696905,127.074894371621,37.550174239715,15.7375,329943.973773553,4157647.91987976,127.074878731338,37.550161213434,15.7375
5242,329945.370596115,4157649.35161295,127.074894204058,37.550174368957,15.7366,329943.968830116,4157647.92506044,127.074878674204,37.550161259191,15.7366
5243,329945.356044572,4157649.36619989,127.074894036031,37.550174497678,15.7351,329943.964057442,4157647.93010386,127.074878619034,37.550161303744,15.7351
5244,329945.341203424,4157649.38075997,127.074893864734,37.550174626104,15.7331,329943.957939465,4157647.93625978,127.074878548384,37.550161358071,15.7331
5245,329945.325907511,4157649.39509247,127.074893688343,37.550174752395,15.7311,329943.949611676,4157647.94395162,127.074878452375,37.550161425826,15.7311
5246,329945.310147464,4157649.40928579,127.074893506734,37.550174877347,15.7294,329943.938783843,4157647.95348298,127.074878327653,37.550161509691,15.7294
5247,329945.294172017,4157649.42347577,127.074893322688,37.550175002229,15.7281,329943.925419755,4157647.96521748,127.074878173723,37.550161612935,15.7281
5248,329945.278128997,4157649.43768819,127.074893137873,37.550175127301,15.7272,329943.909672873,4157647.97915199,127.074877992323,37.550161735558,15.7272
5249,329945.262198498,4157649.45221086,127.074892954259,37.550175255189,15.7268,329943.89226774,4157647.99505963,127.074877791702,37.550161875649,15.7268
